snapshot_id,game_key,captured_at_utc,model_version,week,start_date,away_team,home_team,preferred_side,signal,status_system,model_home_spread,snapshot_home_spread,snapshot_total,snapshot_bookmaker,closing_home_spread,closing_total,closing_bookmaker,closing_captured_at_utc,closing_minutes_to_kickoff,same_bookmaker,clv_points,beat_close,market_move_toward_model_points,closing_model_edge_points,clv_settled
a63658c46bda89609f77e7b2,401858204,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-03T23:00:00.000Z,Akron,Wake Forest,Akron,AGREE W/ MARKET,v1_market_disagreement,-22.0,-23.5,48.5,DraftKings,-27.5,50.5,DraftKings,2026-09-03T22:27:10.893250+00:00,32.8,True,-4.0,False,-4.0,5.5,True
2e5e5aaecf0bfa69d4896a5b,401856776,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-04T00:00:00.000Z,Colorado,Georgia Tech,Colorado,AGREE W/ MARKET,v1_market_disagreement,-6.0,-6.5,50.5,DraftKings,-6.5,52.5,DraftKings,2026-09-03T23:24:49.817359+00:00,35.2,True,0.0,,0.0,0.5,True
787ad2612196f22734a9a796,401858424,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-04T01:00:00.000Z,UAB,Illinois,UAB,LEAN,v1_market_disagreement,-23.5,-27.5,54.5,DraftKings,-25.5,54.5,DraftKings,2026-09-04T00:35:42.894830+00:00,24.3,True,2.0,True,2.0,2.0,True
7cf4321c6a665ffa21cddaf2,401864495,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-04T22:30:00.000Z,San Jose State,Eastern Michigan,Eastern Michigan,AGREE W/ MARKET,v1_market_disagreement,-5.0,-3.0,56.5,DraftKings,,,,,,,,,,,False
b6575d7b93aab45a3a4e7e8d,401858429,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-05T00:00:00.000Z,Toledo,Michigan State,Michigan State,AGREE W/ MARKET,v1_market_disagreement,-10.5,-9.5,47.5,DraftKings,,,,,,,,,,,False
740f2a1269474719f97db54a,401856664,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-05T00:00:00.000Z,UTEP,Oklahoma,UTEP,PLAY,v1_market_disagreement,-32.0,-41.5,51.5,DraftKings,,,,,,,,,,,False
25204df86672214ccb5d1366,401858436,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-05T01:00:00.000Z,Fresno State,USC,Fresno State,PLAY,v1_market_disagreement,-14.0,-22.5,51.5,DraftKings,,,,,,,,,,,False
31ce833546b9fcdb85289fe6,401858206,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-05T01:00:00.000Z,Miami,Stanford,Stanford,PLAY,v1_market_disagreement,15.0,24.5,48.5,DraftKings,,,,,,,,,,,False
ca07a1a75cd8a098d27dcaa4,401869960,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-05T16:00:00.000Z,Liberty,James Madison,Liberty,AGREE W/ MARKET,v1_market_disagreement,-5.5,-6.5,50.5,DraftKings,,,,,,,,,,,False
192360a9a475e9581dba975b,401858430,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-05T16:00:00.000Z,Ohio,Nebraska,Ohio,LEAN,v1_market_disagreement,-19.0,-23.5,45.5,DraftKings,,,,,,,,,,,False
20bc510735b7d91926c81c3a,401856780,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-05T16:00:00.000Z,Coastal Carolina,West Virginia,Coastal Carolina,PLAY,v1_market_disagreement,-12.5,-21.0,55.5,DraftKings,,,,,,,,,,,False
606991001e92d8edab6d2a4f,401858425,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-05T16:00:00.000Z,North Texas,Indiana,North Texas,PLAY,v1_market_disagreement,-31.5,-39.5,55.5,DraftKings,,,,,,,,,,,False
f7648a232ff7740a3e8d243a,401856778,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-05T16:00:00.000Z,Oregon State,Houston,Oregon State,PLAY,v1_market_disagreement,-12.0,-20.5,49.5,DraftKings,,,,,,,,,,,False
ad7bde5526c81b4fa92562c8,401856634,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-05T16:00:00.000Z,East Carolina,Alabama,East Carolina,PLAY,v1_market_disagreement,-18.5,-27.5,52.5,DraftKings,,,,,,,,,,,False
91577e373d9c6675f8d5b017,401858207,2026-09-02T15:27:05.903938+00:00,production-model-a-2026-week1-freeze-v1,1,2026-09-05T16:30:00.000Z,Miami (OH),Pittsburgh,Miami (OH),EDGE,v1_market_disagreement,-10.0,-16.5,48.5,DraftKings,,,,,,,,,,,False
