game_id,season,week,season_type,home_team,away_team,home_score,away_score,actual_home_margin,actual_total,market_home_spread,market_total,completed,home_feature_team,home_prior_weeks,home_actual_drives,home_actual_scoring_opportunities,home_actual_scoring_opportunity_rate,home_actual_points_on_scoring_opportunities,home_actual_points_per_scoring_opportunity,home_actual_scoring_opportunity_conversion_rate,home_prev_season_off_epa,home_prev_season_off_success_rate,home_prev_season_off_explosive_rate,home_prev_season_off_pass_epa,home_prev_season_off_rush_epa,home_prev_season_havoc_allowed_rate,home_prev_season_line_yards_per_rush,home_prev_season_scoring_opp_rate,home_prev_season_avg_start_yards_to_endzone,home_prev_season_drives,home_prev_season_plays_per_drive,home_prev_season_def_epa_allowed,home_prev_season_def_success_allowed,home_prev_season_def_explosive_allowed,home_prev_season_def_pass_epa_allowed,home_prev_season_def_rush_epa_allowed,home_prev_season_def_havoc_created_rate,home_prev_season_def_line_yards_allowed,home_prev_season_def_scoring_opp_allowed,home_prev_season_actual_drives,home_prev_season_actual_scoring_opportunities,home_prev_season_actual_scoring_opportunity_rate,home_prev_season_actual_points_on_scoring_opportunities,home_prev_season_actual_points_per_scoring_opportunity,home_prev_season_actual_scoring_opportunity_conversion_rate,home_prev_season_def_actual_drives_faced,home_prev_season_def_actual_scoring_opportunities_allowed,home_prev_season_def_actual_scoring_opportunity_rate_allowed,home_prev_season_def_actual_points_on_scoring_opportunities_allowed,home_prev_season_def_actual_points_per_scoring_opportunity_allowed,home_prev_season_def_actual_scoring_opportunity_conversion_rate_allowed,home_pregame_off_epa,home_pregame_off_success_rate,home_pregame_off_explosive_rate,home_pregame_off_pass_epa,home_pregame_off_rush_epa,home_pregame_havoc_allowed_rate,home_pregame_line_yards_per_rush,home_pregame_scoring_opp_rate,home_pregame_avg_start_yards_to_endzone,home_pregame_drives,home_pregame_plays_per_drive,home_pregame_def_epa_allowed,home_pregame_def_success_allowed,home_pregame_def_explosive_allowed,home_pregame_def_pass_epa_allowed,home_pregame_def_rush_epa_allowed,home_pregame_def_havoc_created_rate,home_pregame_def_line_yards_allowed,home_pregame_def_scoring_opp_allowed,home_pregame_actual_drives,home_pregame_actual_scoring_opportunities,home_pregame_actual_scoring_opportunity_rate,home_pregame_actual_points_on_scoring_opportunities,home_pregame_actual_points_per_scoring_opportunity,home_pregame_actual_scoring_opportunity_conversion_rate,home_pregame_def_actual_drives_faced,home_pregame_def_actual_scoring_opportunities_allowed,home_pregame_def_actual_scoring_opportunity_rate_allowed,home_pregame_def_actual_points_on_scoring_opportunities_allowed,home_pregame_def_actual_points_per_scoring_opportunity_allowed,home_pregame_def_actual_scoring_opportunity_conversion_rate_allowed,away_feature_team,away_prior_weeks,away_actual_drives,away_actual_scoring_opportunities,away_actual_scoring_opportunity_rate,away_actual_points_on_scoring_opportunities,away_actual_points_per_scoring_opportunity,away_actual_scoring_opportunity_conversion_rate,away_prev_season_off_epa,away_prev_season_off_success_rate,away_prev_season_off_explosive_rate,away_prev_season_off_pass_epa,away_prev_season_off_rush_epa,away_prev_season_havoc_allowed_rate,away_prev_season_line_yards_per_rush,away_prev_season_scoring_opp_rate,away_prev_season_avg_start_yards_to_endzone,away_prev_season_drives,away_prev_season_plays_per_drive,away_prev_season_def_epa_allowed,away_prev_season_def_success_allowed,away_prev_season_def_explosive_allowed,away_prev_season_def_pass_epa_allowed,away_prev_season_def_rush_epa_allowed,away_prev_season_def_havoc_created_rate,away_prev_season_def_line_yards_allowed,away_prev_season_def_scoring_opp_allowed,away_prev_season_actual_drives,away_prev_season_actual_scoring_opportunities,away_prev_season_actual_scoring_opportunity_rate,away_prev_season_actual_points_on_scoring_opportunities,away_prev_season_actual_points_per_scoring_opportunity,away_prev_season_actual_scoring_opportunity_conversion_rate,away_prev_season_def_actual_drives_faced,away_prev_season_def_actual_scoring_opportunities_allowed,away_prev_season_def_actual_scoring_opportunity_rate_allowed,away_prev_season_def_actual_points_on_scoring_opportunities_allowed,away_prev_season_def_actual_points_per_scoring_opportunity_allowed,away_prev_season_def_actual_scoring_opportunity_conversion_rate_allowed,away_pregame_off_epa,away_pregame_off_success_rate,away_pregame_off_explosive_rate,away_pregame_off_pass_epa,away_pregame_off_rush_epa,away_pregame_havoc_allowed_rate,away_pregame_line_yards_per_rush,away_pregame_scoring_opp_rate,away_pregame_avg_start_yards_to_endzone,away_pregame_drives,away_pregame_plays_per_drive,away_pregame_def_epa_allowed,away_pregame_def_success_allowed,away_pregame_def_explosive_allowed,away_pregame_def_pass_epa_allowed,away_pregame_def_rush_epa_allowed,away_pregame_def_havoc_created_rate,away_pregame_def_line_yards_allowed,away_pregame_def_scoring_opp_allowed,away_pregame_actual_drives,away_pregame_actual_scoring_opportunities,away_pregame_actual_scoring_opportunity_rate,away_pregame_actual_points_on_scoring_opportunities,away_pregame_actual_points_per_scoring_opportunity,away_pregame_actual_scoring_opportunity_conversion_rate,away_pregame_def_actual_drives_faced,away_pregame_def_actual_scoring_opportunities_allowed,away_pregame_def_actual_scoring_opportunity_rate_allowed,away_pregame_def_actual_points_on_scoring_opportunities_allowed,away_pregame_def_actual_points_per_scoring_opportunity_allowed,away_pregame_def_actual_scoring_opportunity_conversion_rate_allowed,sealed_test_season,market_favorite,market_favorite_size
401110720,2019,1,2,Alabama,Duke,42.0,3.0,39.0,45.0,32.5,56.5,True,Alabama,0,13.0,11.0,0.8461538461538461,28.0,2.5454545454545454,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duke,0,12.0,9.0,0.75,3.0,0.3333333333333333,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Duke,32.5
401110721,2019,1,2,Arkansas,Portland State,20.0,13.0,7.0,33.0,-30.0,60.5,True,Arkansas,0,12.0,9.0,0.75,20.0,2.2222222222222223,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland State,0,11.0,6.0,0.5454545454545454,13.0,2.1666666666666665,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Arkansas,30.0
401110722,2019,1,2,Auburn,Oregon,27.0,21.0,6.0,48.0,4.0,55.5,True,Auburn,0,14.0,10.0,0.7142857142857143,17.0,1.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregon,0,15.0,9.0,0.6,21.0,2.3333333333333335,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Oregon,4.0
401110723,2019,1,2,Florida,Miami,24.0,20.0,4.0,44.0,-7.0,46.5,True,Florida,0,13.0,10.0,0.7692307692307693,14.0,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miami,0,11.0,9.0,0.8181818181818182,20.0,2.2222222222222223,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Florida,7.0
401110724,2019,1,2,Kentucky,Toledo,38.0,24.0,14.0,62.0,-10.0,61.5,True,Kentucky,0,15.0,12.0,0.8,28.0,2.3333333333333335,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toledo,0,15.0,9.0,0.6,24.0,2.6666666666666665,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Kentucky,10.0
401110725,2019,1,2,LSU,Georgia Southern,55.0,3.0,52.0,58.0,-27.0,51.5,True,LSU,0,13.0,7.0,0.5384615384615384,17.0,2.4285714285714284,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia Southern,0,13.0,10.0,0.7692307692307693,3.0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,LSU,27.0
401110726,2019,1,2,Memphis,Ole Miss,15.0,10.0,5.0,25.0,-4.5,65.0,True,Memphis,0,12.0,10.0,0.8333333333333334,7.0,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ole Miss,0,12.0,7.0,0.5833333333333334,10.0,1.4285714285714286,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Memphis,4.5
401110727,2019,1,2,Louisiana,Mississippi State,28.0,38.0,-10.0,66.0,19.0,60.0,True,Louisiana,0,16.0,12.0,0.75,14.0,1.1666666666666667,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mississippi State,0,12.0,10.0,0.8333333333333334,31.0,3.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mississippi State,19.0
401110728,2019,1,2,Wyoming,Missouri,37.0,31.0,6.0,68.0,15.75,53.0,True,Wyoming,0,13.0,11.0,0.8461538461538461,21.0,1.9090909090909092,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missouri,0,13.0,11.0,0.8461538461538461,31.0,2.8181818181818183,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Missouri,15.75
401110729,2019,1,2,North Carolina,South Carolina,24.0,20.0,4.0,44.0,11.0,63.0,True,North Carolina,0,13.0,11.0,0.8461538461538461,21.0,1.9090909090909092,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Carolina,0,14.0,11.0,0.7857142857142857,20.0,1.8181818181818181,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,South Carolina,11.0
